"ID","Артикул","Категория","Название товара","Картинка","Цена товара","Остаток на складе","Остаток на складе Ростов-на-Дону","Ссылка на товар","Описание","Модель товара/model/Артикул","Название производителя/Бренд","Страна производства","Вес товара","Габариты товара","Группа товара/group_id","Емкость бачка","Частота сети, Гц","Потребляемый ток, А","Потребляемая мощность ММА, А","Потребляемая мощность TIG, А","ПВ (40 градусов Цельсия), %","Напряжение холостого хода, В","Сварочный ток MMA, А","Сварочный ток MIG, А","Сварочный ток TIG AC, А","Сварочный ток TIG DC, А","Минимальный диаметр сварочной проволоки MIG, мм","Максимальный диаметр сварочной проволоки MIG, мм","Шум","Максимальный диаметр электрода MMA, мм","Максимальная масса катушки, кг","Скорость подачи проволоки, м/мин","Количество роликов, шт","КПД, %","Степень защиты","Доп. изображения","Расход воздуха","Давление подачи воздуха","Напряжение сети, В","Ширина линий","Страна изготовитель","Максимальный расход краски","Напряжение","Производительность, л/м","Сопло","Видео","Длина электрического кабеля","Количество пистолетов","Максимальная длина шланга","Максимальная скорость","Максимальное давление","Максимальное количество двоичных ходов в минуту","Максимальное сопло","Мотор","Распыление краски","Мощность","Назначение","Резьба на входе воздуха","Насосы подающие","Номинальная мощность","Объем подачи за двоичный ход","Передаточное соотношение","Подача воздуха от компрессора","Привод насоса","Применение","Размер","Расположение бачка","Насос","Вес в упаковке, кг","Давление","Вид насоса","Стеклошарики","Тип двигателя","Плавный пуск","Пропускная способность","Регулировка оборотов","Диаметр диска","Подключение к пылесосу","Min число оборотов","Амплитуда колебания","Тормоз подошвы","Число оборотов"
"13315","07041020","Запчасти для HYVST SPT 490","*07041020 фильтр в аппарат для установок SPT490/SPT690 (аналоги 637FB60)","https://specokraska.ru/upload/iblock/d23/j6vf4zbfikrubzodtgu7v41auwt19gz7/af15783d-0bdf-11e4-940e-d4ae52a67367_8a7bd5ad-bf7e-11ee-ae41-b03af61ad78a.resize1.jpg","200","403","39","https://specokraska.ru/catalog/zapchasti-k-oborudovaniyu-hyvst/zapchasti-dlya-okrasochnykh-apparatov-hyvst/zapchasti-dlya-hyvst-spt-490/07041020-filtr-v-apparat-dlya-ustanovok-spt490-spt690-analogi-637fb60/","*07041020 фильтр в аппарат для установок SPT490/SPT690 (аналоги 637FB60)","07041020","SCHTAER,SCHTAER","","","","973","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/755/1nabj1qoiajmk25tecywshzngjjuhgao/af15783d-0bdf-11e4-940e-d4ae52a67367_8a7bd5e1-bf7e-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14893","17000400D-3","Комплектующие для окрасочного оборудования","*17000400D-3 удочка 30 см,  7/8""","https://specokraska.ru/upload/iblock/979/ttp6any5fpnm5h61fethsed9e14q7733/a1a8e6e3-0bf7-11e4-940e-d4ae52a67367_a8be2cc4-c65c-11ee-ae41-b03af61ad78a.resize1.jpg","500","362","11","https://specokraska.ru/catalog/komplektuyushchie/17000400d-3-udochka-30-sm-7-8/","*17000400D-3 удочка 30 см,  7/8""","17000400D-3","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14895","17000400D-15","Комплектующие для окрасочного оборудования","*17000400D-15 удочка 150 см, 7/8""","https://specokraska.ru/upload/iblock/77f/3e0dztuwxjs78lse44lfhighxwtslwqb/a1a8e6ee-0bf7-11e4-940e-d4ae52a67367_d8dc71e8-c65c-11ee-ae41-b03af61ad78a.resize1.jpg","1200","595","10","https://specokraska.ru/catalog/komplektuyushchie/17000400d-15-udochka-150-sm-7-8/","*17000400D-15 удочка 150 см, 7/8""","17000400D-15","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14896","7031000","Комплектующие для окрасочного оборудования","*7031000 соплодержатель 7/8"" (взаимозаменяем с 7031000-3)","https://specokraska.ru/upload/iblock/a20/mcg4mj0drliq0aunr30w93l45uisaliw/50cb4140-0c0b-11e4-940e-d4ae52a67367_9d162872-d03a-11f0-ae57-b03af61ad78a.resize1.jpg","500","525","25","https://specokraska.ru/catalog/komplektuyushchie/7031000-soploderzhatel-7-8-vzaimozamenyaem-s-7031000-3/","*7031000 соплодержатель 7/8"" (взаимозаменяем с 7031000-3)","7031000","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/b4b/2u11zdre2tk4e8cd9ntii12vsajpg00h/50cb4140-0c0b-11e4-940e-d4ae52a67367_287ef78e-1e9a-11f0-ae4e-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14908","17000400D-10 ","Комплектующие для окрасочного оборудования","*17000400D-10 удочка 100 см, 7/8""","https://specokraska.ru/upload/iblock/dc2/lity7lv90xcssvvxbx4h4lkswsj5a433/fda94b14-0079-11ea-945d-d4ae52a67367_53863e2c-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","900","580","13","https://specokraska.ru/catalog/komplektuyushchie/17000400d-10-udochka-100-sm-7-8/","*17000400D-10 удочка 100 см, 7/8""","17000400D-10 ","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/951/auot6jc90m6327bkfyy4u92mm26i92b0/fda94b14-0079-11ea-945d-d4ae52a67367_53863e60-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14909","17000400D-5","Комплектующие для окрасочного оборудования","*17000400D-5 Удочка 50 см 7/8""","https://specokraska.ru/upload/iblock/11e/c6yqke8vbj9n53yzwwrypans11v8lenj/966d083e-5190-11ea-9461-d4ae52a67367_154c9697-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","600","66","9","https://specokraska.ru/catalog/komplektuyushchie/17000400d-5-udochka-50-sm-7-8/","*17000400D-5 Удочка 50 см 7/8""","17000400D-5","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/8a8/ygw36owrprvk3fregec3chqvc1wmc53q/966d083e-5190-11ea-9461-d4ae52a67367_154c96da-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14910","17000400D-7.5","Комплектующие для окрасочного оборудования","*17000400D-7.5 Удочка 75 см 7/8""","https://specokraska.ru/upload/iblock/125/txjfbm56uebi0wfh352v72xtfdf8j6b7/966d0840-5190-11ea-9461-d4ae52a67367_3417adcc-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","800","885","7","https://specokraska.ru/catalog/komplektuyushchie/17000400d-7-5-udochka-75-sm-7-8/","*17000400D-7.5 Удочка 75 см 7/8""","17000400D-7.5","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/293/1s8svzwsrxjfcelr5xrgk5peh7ashaah/966d0840-5190-11ea-9461-d4ae52a67367_3417ae00-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14913","243081-1","Комплектующие для окрасочного оборудования","Фильтр Schtaer 100М голубой 243081-1","https://specokraska.ru/upload/iblock/cb5/txqapevpetbvciaat43tc1vxw7wijt98/297c68a9-ffe2-11e6-9439-d4ae52a67367_d844eb0d-d09d-11ee-ae41-b03af61ad78a.resize1.jpg","200","348","16","https://specokraska.ru/catalog/komplektuyushchie/243081-1-filtr-100-mesh-analog-637fb100/","Фильтр предназначен для финишной очистки краски. Он играет важную роль в поддержании качества нанесения краски на поверхность, предотвращая попадание пыли, крупных частиц и других загрязнений, которые могут испортить конечный результат.

Вы можете подобрать фильтр для окрасочного аппарата, исходя из типа наносимого материала и его вязкости. Так, фильтры с крупной сеткой (модификация 30) используются для нанесения высоковязких материалов (краски по металлу, водные и водоэмульсионные краски, латексные краски, антикоррозионные краски, грунтовки по металлу, масленые краски, огнезащитные материалы, теплоизоляционные краски, эмали). Фильтры со средней сеткой (60 и 100) используются для нанесения материалов средней вязкости: краски по металлу, водные краски, водоэмульсионные краски, латексные краски, масленые краски и другие. 


Преимущества:

•    обеспечивает качественное и равномерное покрытие;
•    защищает оборудование от попадание посторонних частиц;
•    помогает поддерживать чистоту рабочего помещения.
","243081-1","SCHTAER,SCHTAER","КИТАЙ","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14916","7031000-2","Комплектующие для окрасочного оборудования","*7031000-2 соплодержатель 7/8"" 500 bar (XHD)","https://specokraska.ru/upload/iblock/5b9/xaxat8e8c52igb2lev5v2wxj98uvmka9/9857cb04-cb3a-11e6-9437-d4ae52a67367_c2c7aefc-d03a-11f0-ae57-b03af61ad78a.resize1.jpg","1320","872","27","https://specokraska.ru/catalog/komplektuyushchie/7031000-2-soploderzhatel-7-8-500-bar-xhd/","*7031000-2 соплодержатель 7/8"" 500 bar (XHD)","7031000-2","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14920","17000400D-2","Комплектующие для окрасочного оборудования","*17000400D-2 удочка 20 см,  7/8""","https://specokraska.ru/upload/iblock/72d/o6zcm6cikkzeez86ehm929kj3lnfkyol/968dbdf8-f948-11eb-ae25-b03af61ad78a_e776d81a-2279-11ef-ae44-b03af61ad78a.resize1.jpg","400","146","7","https://specokraska.ru/catalog/komplektuyushchie/17000400d-2-udochka-20-sm-7-8/","*17000400D-2 удочка 20 см,  7/8""","17000400D-2","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15141","0097024","Фильтры","Фильтр Schtaer 50М белый 0097024 Wagner","https://specokraska.ru/upload/iblock/3fb/4nz2zqfcz32k7yscu1489ahl3qlva7bq/db588938-1626-11e4-940f-d4ae52a67367_cd938c2d-bf7e-11ee-ae41-b03af61ad78a.resize1.jpg","125","422","20","https://specokraska.ru/catalog/komplektuyushchie/filtry/0097024-filtr-setchatyy-50-mesh-belyy-wagner/","Фильтр предназначен для финишной очистки краски. Он играет важную роль в поддержании качества нанесения краски на поверхность, предотвращая попадание пыли, крупных частиц и других загрязнений, которые могут испортить конечный результат.

Вы можете подобрать фильтр для окрасочного аппарата, исходя из типа наносимого материала и его вязкости. Так, фильтры с крупной сеткой (модификация 30) используются для нанесения высоковязких материалов (краски по металлу, водные и водоэмульсионные краски, латексные краски, антикоррозионные краски, грунтовки по металлу, масленые краски, огнезащитные материалы, теплоизоляционные краски, эмали). Фильтры со средней сеткой (60 и 100) используются для нанесения материалов средней вязкости: краски по металлу, водные краски, водоэмульсионные краски, латексные краски, масленые краски и другие. 


Преимущества:

•    обеспечивает качественное и равномерное покрытие;
•    защищает оборудование от попадание посторонних частиц;
•    помогает поддерживать чистоту рабочего помещения.
","0097024","SCHTAER,SCHTAER","КИТАЙ","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15142","0097025","Фильтры","Фильтр Schtaer 30М зеленый 0097025 Wagner","https://specokraska.ru/upload/iblock/ac5/tnk8xxe23id20a75yl2vs671sez66a46/7a4e5686-44a0-11e4-940f-d4ae52a67367_b3bc2e37-bf7e-11ee-ae41-b03af61ad78a.resize1.jpg","125","281","16","https://specokraska.ru/catalog/komplektuyushchie/filtry/0097025-filtr-setchatyy-30-mesh-zelenyy-wagner/","Фильтр предназначен для финишной очистки краски. Он играет важную роль в поддержании качества нанесения краски на поверхность, предотвращая попадание пыли, крупных частиц и других загрязнений, которые могут испортить конечный результат.

Вы можете подобрать фильтр для окрасочного аппарата, исходя из типа наносимого материала и его вязкости. Так, фильтры с крупной сеткой (модификация 30) используются для нанесения высоковязких материалов (краски по металлу, водные и водоэмульсионные краски, латексные краски, антикоррозионные краски, грунтовки по металлу, масленые краски, огнезащитные материалы, теплоизоляционные краски, эмали). Фильтры со средней сеткой (60 и 100) используются для нанесения материалов средней вязкости: краски по металлу, водные краски, водоэмульсионные краски, латексные краски, масленые краски и другие. 


Преимущества:

•    обеспечивает качественное и равномерное покрытие;
•    защищает оборудование от попадание посторонних частиц;
•    помогает поддерживать чистоту рабочего помещения.
","0097025","SCHTAER,SCHTAER","КИТАЙ","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15143","0097023","Фильтры","Фильтр Schtaer 100М желтый 0097023 Wagner","https://specokraska.ru/upload/iblock/38f/1ifid3amno81c65gzbyhg7w02hvtkigf/b52b0796-4540-11e4-940f-d4ae52a67367_e7f552d6-bf7e-11ee-ae41-b03af61ad78a.resize1.jpg","125","1047","21","https://specokraska.ru/catalog/komplektuyushchie/filtry/0097023-filtr-setchatyy-100-mesh-zheltyy-wagner/","Фильтр предназначен для финишной очистки краски. Он играет важную роль в поддержании качества нанесения краски на поверхность, предотвращая попадание пыли, крупных частиц и других загрязнений, которые могут испортить конечный результат.

Вы можете подобрать фильтр для окрасочного аппарата, исходя из типа наносимого материала и его вязкости. Так, фильтры с крупной сеткой (модификация 30) используются для нанесения высоковязких материалов (краски по металлу, водные и водоэмульсионные краски, латексные краски, антикоррозионные краски, грунтовки по металлу, масленые краски, огнезащитные материалы, теплоизоляционные краски, эмали). Фильтры со средней сеткой (60 и 100) используются для нанесения материалов средней вязкости: краски по металлу, водные краски, водоэмульсионные краски, латексные краски, масленые краски и другие. 


Преимущества:

•    обеспечивает качественное и равномерное покрытие;
•    защищает оборудование от попадание посторонних частиц;
•    помогает поддерживать чистоту рабочего помещения.
","0097023","SCHTAER,SCHTAER","КИТАЙ","","","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
